,Combined,Game,PitchTypeAll,Pitchtype_3classes_5player,Pitchtype_3classes_Allplayer,Player,PositionCF,PositionSV
0,Fastball (4-seam),490987-49b51b3c-5260-4d06-b44d-0553adea105d,Fastball (4-seam),Fastball,Fastball,592314.0,Windup,Windup
1,Fastball (4-seam),490987-95bdbdc2-454f-4dcb-a21c-afc087d35e27,Fastball (4-seam),Fastball,Fastball,592314.0,Windup,Windup
2,Curveball,490987-2b8452c8-c23e-4e1f-9f5e-475d7b9d5bb9,Curveball,Breaking Ball,Breaking Ball,592314.0,Windup,
3,Fastball (2-seam),490987-c0063b86-7a43-4b8c-a603-c7d3fb52b02a,Fastball (2-seam),Fastball,Fastball,592314.0,Windup,Windup
4,Fastball (4-seam),490987-b73fc5e5-e342-4472-b1cc-7f00a3b42426,Fastball (4-seam),Fastball,Fastball,592314.0,Stretch,
5,Fastball (4-seam),490987-f7247454-4c66-402e-9edb-f13d8630aa52,Fastball (4-seam),Fastball,Fastball,592314.0,Stretch,Stretch
6,Fastball (2-seam),490987-01c04433-b8f6-4a3e-b27d-d934b1b922a1,Fastball (2-seam),Fastball,Fastball,595191.0,Windup,Windup
7,Fastball (2-seam),490987-3ed9d980-9478-4295-9342-065b0d2db7c6,Fastball (2-seam),Fastball,Fastball,595191.0,Windup,Windup
8,Curveball,490987-a30aedaa-0fb5-4ea1-a815-8d524caae21a,Curveball,Fastball,Breaking Ball,595191.0,Windup,Windup
9,Fastball (2-seam),490987-d41c65ef-41ad-4288-8aca-b13e0f3db6f2,Fastball (2-seam),Fastball,Fastball,595191.0,Stretch,Stretch
10,Fastball (2-seam),490987-99559765-f81e-4bdd-83b3-9e4f9a228d8a,Fastball (2-seam),Fastball,Fastball,595191.0,Stretch,Stretch
11,Fastball (2-seam),490987-836e4799-78f1-4ff3-8618-ffc5daf4d542,Fastball (2-seam),Fastball,Fastball,595191.0,Windup,Windup
12,Curveball,490987-e166e54d-e6dd-493e-8f68-469a4d701999,Curveball,Breaking Ball,Breaking Ball,592314.0,Windup,Windup
13,Fastball (2-seam),490987-f6f14813-28b2-4ae2-a5bc-fb242c681da9,Fastball (2-seam),Fastball,Fastball,592314.0,Windup,Windup
14,Fastball (4-seam),490987-34f6ed15-64a8-4dc9-a499-612bd9dfdb0f,Fastball (4-seam),Fastball,Fastball,592314.0,Windup,Windup
15,Fastball (4-seam),490987-bf4f3bcb-90ed-4f40-8639-d8af827e8707,Fastball (4-seam),Fastball,Fastball,592314.0,Windup,Windup
16,Fastball (4-seam),490987-a5f950be-2ce6-4e79-bf72-950b125eb9b8,Fastball (4-seam),Fastball,Fastball,592314.0,Windup,Windup
17,Fastball (2-seam),490987-e41efc0d-8871-4fab-960c-02233b31b8ed,Knuckleball,Fastball,Fastball,592314.0,Windup,Windup
18,Fastball (2-seam),490987-3413b269-9789-4a9a-8488-ede0fa550ffb,Fastball (2-seam),Fastball,Fastball,595191.0,Windup,
19,Fastball (4-seam),490987-b6f39d56-9ce5-46fa-b89e-ed2534de3b1d,Curveball,Fastball,Fastball,595191.0,Windup,Windup
20,Curveball,490987-689f2927-566f-433d-a1dc-ee52294b8772,Curveball,Fastball,Breaking Ball,595191.0,Windup,Windup
21,Fastball (2-seam),490987-0c487238-52e2-4bc0-9d0d-9da72b0d7953,Fastball (2-seam),Fastball,Fastball,595191.0,Windup,Windup
